latin_words,average_sentence_length,sentences_count,average_length,excl_marks,digits_count,words_count,quotes_count,class,
5, 133, 9, 6, False, 18, 145, 0, society, 
4, 178, 6, 6, False, 11, 141, 0, society, 
13, 178, 51, 6, False, 66, 1230, 0, society, 
42, 172, 88, 6, False, 116, 2033, 0, society, 
4, 194, 4, 5, False, 23, 108, 0, society, 
4, 538, 2, 5, False, 28, 153, 0, society, 
6, 182, 6, 6, False, 5, 145, 0, society, 
4, 240, 6, 6, False, 4, 179, 0, society, 
4, 141, 7, 6, False, 8, 129, 0, society, 
7, 165, 5, 6, False, 22, 100, 0, society, 
27, 190, 8, 6, False, 43, 187, 0, hi_tech, 
15, 161, 7, 6, False, 4, 144, 0, hi_tech, 
20, 165, 9, 6, False, 9, 189, 0, hi_tech, 
40, 239, 7, 5, False, 54, 232, 0, hi_tech, 
30, 318, 4, 5, False, 15, 175, 0, hi_tech, 
21, 183, 10, 6, False, 58, 223, 0, hi_tech, 
27, 241, 6, 6, False, 13, 192, 0, hi_tech, 
22, 164, 8, 6, False, 10, 169, 0, hi_tech, 
15, 216, 8, 6, False, 5, 216, 0, science, 
27, 161, 12, 6, False, 18, 242, 0, hi_tech, 
0, 126, 6, 6, False, 6, 91, 2, culture, 
4, 192, 2, 6, False, 2, 51, 0, internet, 
5, 176, 7, 6, False, 11, 154, 0, society, 
19, 204, 9, 6, False, 11, 236, 0, society, 
0, 209, 6, 6, False, 8, 163, 0, sport, 
0, 145, 7, 6, False, 8, 128, 0, sport, 
0, 188, 14, 5, False, 63, 369, 0, sport, 
0, 117, 10, 5, False, 38, 157, 0, sport, 
2, 174, 7, 6, False, 16, 151, 0, sport, 
0, 103, 9, 5, False, 13, 130, 0, sport, 
5, 153, 6, 6, False, 3, 125, 0, society, 
2, 160, 10, 6, False, 8, 217, 0, society, 
12, 157, 8, 6, False, 28, 163, 0, economics, 
16, 163, 9, 6, False, 25, 188, 0, economics, 
16, 250, 8, 6, False, 4, 272, 0, economics, 
9, 181, 7, 6, False, 21, 166, 0, economics, 
2, 155, 8, 6, False, 21, 163, 0, economics, 
19, 263, 7, 6, False, 32, 245, 0, economics, 
13, 200, 39, 6, False, 47, 1020, 0, economics, 
8, 236, 10, 6, False, 7, 313, 0, internet, 
0, 242, 9, 6, False, 25, 265, 0, economics, 
0, 428, 3, 6, False, 20, 169, 0, economics, 
